204179 <SA>
004062 <em title="<s>
002602 <em title="Atmane-pada">
001300 <em title="Nominal verb">
000004 <em title="Scholiast or Commentator">
000004 <em title="Vedic or Veda">
000001 <em title="ablative">
000004 <em title="according to">
000004 <em title="accusative">
000001 <em title="adjective (cf. mfn.)">
000002 <em title="case">
000005 <em title="commentator or commentary">
000011 <em title="confer, compare">
000001 <em title="dative case">
000419 <em title="dual number">
042319 <em title="feminine">
000002 <em title="genitive case">
000003 <em title="grammar">
007419 <em title="indeclinable">
000001 <em title="instrumental case">
094241 <em title="masculine gender">
064691 <em title="masculine, feminine and neuter; or adjective">
056354 <em title="neuter gender">
000026 <em title="nominative case">
002171 <em title="plural">
000008 <em title="quod vide">
000004 <em title="wrong reading">
022188 <em>
056621 <font class='sdata'>
016307 <font color="brown" size="-1">
002773 <font color="brown">
000011 <font color="gray" size="-1" class='sdata'>
000048 <font color="gray" size="-1">
000001 <font color="orange">
038662 <font color="purple">
078629 <font color='#004400' size="-1">
275659 <font color='#004400'>
146178 <font size='-1' color='#006600'>
005437 <font size='-1'>
014384 <p>
004427 <span  title="<s>
000004 <span  title="AEolic">
000136 <span  title="Anglo-Saxon">
001499 <span  title="Aorist">
000004 <span  title="Arabic">
000006 <span  title="Armenian">
000003 <span  title="Armorican or the language of Brittany">
000002 <span  title="Atmane-pada">
000238 <span  title="Bombay edition">
000059 <span  title="Calcutta edition">
002615 <span  title="Causal">
000004 <span  title="Classical">
000185 <span  title="Comparative degree">
000027 <span  title="Conditional">
000952 <span  title="Desiderative">
000204 <span  title="English">
000339 <span  title="Epic">
000001 <span  title="Gaelic">
000302 <span  title="German">
000204 <span  title="Gothic">
000514 <span  title="Greek">
000052 <span  title="Hibernian or Irish">
000004 <span  title="Hindi">
000002 <span  title="Icelandic">
000618 <span  title="Intensive">
000005 <span  title="Introduction">
000540 <span  title="Latin">
000002 <span  title="Lettish">
000191 <span  title="Lithuanian">
047822 <span  title="Name (also title or epithet)">
000008 <span  title="Nominal verb">
000001 <span  title="Ossetic">
000897 <span  title="Passive voice">
000024 <span  title="Persian">
000346 <span  title="Potential">
000011 <span  title="Russian">
000006 <span  title="Saxon">
000788 <span  title="Scholiast or Commentator">
000115 <span  title="Slavonic or Slavonian">
000220 <span  title="Vedic or Veda">
000150 <span  title="Zend">
001047 <span  title="ablative">
000919 <span  title="according to">
002642 <span  title="accusative">
000025 <span  title="additions">
000037 <span  title="adjective (cf. mfn.)">
000049 <span  title="adverb">
000053 <span  title="algebra">
000009 <span  title="anatomy">
000007 <span  title="anomalous">
000106 <span  title="arithmetic">
000117 <span  title="astrology">
000253 <span  title="astronomy">
000057 <span  title="case">
000543 <span  title="chapter">
000632 <span  title="column">
000062 <span  title="columns">
001590 <span  title="commentator or commentary">
003428 <span  title="compound">
011814 <span  title="confer, compare">
000014 <span  title="conjectural">
000003 <span  title="consonant">
000665 <span  title="dative case">
000005 <span  title="defective">
000030 <span  title="diminutive">
000174 <span  title="dramatic language">
000509 <span  title="dual number">
000112 <span  title="edition">
001349 <span  title="especially">
000042 <span  title="etymology">
001275 <span  title="exempli gratia, 'for example'">
000250 <span  title="figuratively">
000066 <span  title="from">
000632 <span  title="future">
001642 <span  title="genitive case">
000039 <span  title="geometry">
000955 <span  title="grammar">
000263 <span  title="ibidem or 'in the same place or book or text' as the preceding">
001492 <span  title="id est">
